DEPARTAMENTAL,Frecuencia,Porcentaje
GUATEMALA NORTE,1489,12.55
GUATEMALA OCCIDENTE,1035,8.72
GUATEMALA SUR,1021,8.6
SAN MARCOS,724,6.1
ESCUINTLA,708,5.97
HUEHUETENANGO,591,4.98
QUETZALTENANGO,551,4.64
GUATEMALA ORIENTE,524,4.42
PETÉN,516,4.35
ALTA VERAPAZ,475,4.0
SUCHITEPÉQUEZ,437,3.68
CHIMALTENANGO,435,3.67
SACATEPÉQUEZ,430,3.62
IZABAL,413,3.48
JUTIAPA,392,3.3
RETALHULEU,364,3.07
QUICHÉ,261,2.2
CHIQUIMULA,239,2.01
SANTA ROSA,213,1.79
SOLOLÁ,192,1.62
JALAPA,183,1.54
BAJA VERAPAZ,171,1.44
EL PROGRESO,158,1.33
ZACAPA,156,1.31
TOTONICAPÁN,128,1.08
QUICHÉ NORTE,61,0.51
